batter,bowler,batsman_run,frequency
A Badoni,TA Boult,0,1
A Tomar,JO Holder,0,5
A Tomar,JO Holder,4,1
A Tomar,Mohsin Khan,0,2
AB de Villiers,AS Rajpoot,0,1
AB de Villiers,AS Rajpoot,3,1
AB de Villiers,AS Rajpoot,4,1
AB de Villiers,B Kumar,0,1
AB de Villiers,B Laughlin,0,1
AB de Villiers,B Laughlin,1,1
AB de Villiers,B Laughlin,4,1
AB de Villiers,CH Morris,0,3
AB de Villiers,CH Morris,1,1
AB de Villiers,CH Morris,6,1
AB de Villiers,DL Chahar,0,8
AB de Villiers,DL Chahar,1,1
AB de Villiers,DL Chahar,6,1
AB de Villiers,HV Patel,0,2
AB de Villiers,HV Patel,1,1
AB de Villiers,HV Patel,4,1
AB de Villiers,Harbhajan Singh,0,2
AB de Villiers,Harbhajan Singh,1,1
AB de Villiers,Harbhajan Singh,2,2
AB de Villiers,Harbhajan Singh,4,1
AB de Villiers,Harbhajan Singh,6,2
AB de Villiers,I Sharma,0,4
AB de Villiers,I Sharma,1,3
AB de Villiers,I Sharma,2,1
AB de Villiers,I Sharma,4,1
AB de Villiers,JC Archer,0,2
AB de Villiers,JC Archer,2,1
AB de Villiers,JC Archer,4,3
AB de Villiers,JD Unadkat,0,1
AB de Villiers,JD Unadkat,1,1
AB de Villiers,JJ Bumrah,0,7
AB de Villiers,JJ Bumrah,4,1
AB de Villiers,JP Behrendorff,0,1
AB de Villiers,JP Behrendorff,2,1
AB de Villiers,K Gowtham,1,1
AB de Villiers,K Rabada,0,2
AB de Villiers,K Rabada,1,2
AB de Villiers,KK Ahmed,1,1
AB de Villiers,MJ McClenaghan,0,1
AB de Villiers,MJ McClenaghan,1,1
AB de Villiers,Mohammad Nabi,0,1
AB de Villiers,Mohammad Nabi,1,1
AB de Villiers,Mohammed Shami,0,2
AB de Villiers,Mohammed Shami,1,2
AB de Villiers,S Gopal,0,1
AB de Villiers,S Lamichhane,0,2
AB de Villiers,S Nadeem,0,1
AB de Villiers,S Nadeem,4,2
AB de Villiers,SN Thakur,0,6
AB de Villiers,SN Thakur,1,2
AB de Villiers,SN Thakur,2,1
AB de Villiers,SN Thakur,4,3
AB de Villiers,TA Boult,1,1
AB de Villiers,TA Boult,4,1
AB de Villiers,VR Aaron,2,1
AB de Villiers,VR Aaron,4,2
AD Hales,Avesh Khan,0,2
AD Hales,Avesh Khan,1,2
AD Hales,Avesh Khan,4,2
AD Hales,Avesh Khan,6,3
